"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1373767_at",4.31261532962963,6.70131987,37.2795653377905,3.08397365236707e-28,9.59084966149635e-24,51.6195725465671
"1370177_at",4.56796115555556,5.75082029333333,31.7320734789367,5.04544376074402e-26,7.84541277576892e-22,47.5168840891705
"1380229_at",4.29374156666666,4.09943149,29.6374244511671,4.31584080834181e-25,4.47394444328739e-21,45.7102569717624
"1369519_at",2.51046286296296,4.22293039,23.9661120856249,3.18737443168776e-22,2.47810393627644e-18,39.9064713601928
"1385706_at",2.18991748148148,3.92907136666667,23.7616123113357,4.14948529013797e-22,2.58089686076001e-18,39.6679627653192
"1367764_at",2.91006527037037,7.90103225666667,23.222085857489,8.40467395880237e-22,4.35628259074658e-18,39.0275502757903
"1396236_at",2.32003585925926,3.73673026,22.5706464272037,2.00995569529527e-21,8.92965888114109e-18,38.2320428377483
"1368072_at",3.4652695037037,6.34149311333333,21.5962013124908,7.72711468211107e-21,3.00381924373715e-17,36.9943626543823
"1397564_at",2.10977622592593,4.15871446333333,21.2232991870444,1.31205249254621e-20,4.53372449618829e-17,36.5048788087463
"1387269_s_at",2.40684496666667,4.34837036333333,20.3002671490093,5.04127232417084e-20,1.56778528009389e-16,35.2534967355277
